Distance(km),Num_tweets
3.0,309792
6.0,684052
12.0,1133252
24.0,1518623
48.0,1589165
96.0,1739646
192.0,1982693
384.0,2443536
768.0,3297176
1536.0,3817863
3072.0,3962961
